timestamp,x,y,z,rssi_a,rssi_b,rssi_c,rssi_d,imputed_rssi_a,imputed_rssi_b,imputed_rssi_c,imputed_rssi_d
2026-06-07T01:37:21,0,0,0,-39,-58,-49,-62,false,false,false,false
2026-06-07T01:37:26,1,0,0,-49,-54,-52,-56,false,false,false,false
2026-06-07T01:37:33,2,0,0,-47,-50,-51,-66,false,false,false,false
2026-06-07T01:37:38,3,0,0,-54,-50,-38,-59,false,false,false,false
2026-06-07T01:37:42,4,0,0,-50,-49,-47,-56,false,false,false,false
2026-06-07T01:37:46,5,0,0,-62,-57,-43,-62,false,false,false,false
2026-06-07T01:37:51,6,0,0,-58,-57,-61,-64,false,false,false,false
2026-06-07T01:37:55,7,0,0,-59,-48,-50,-54,false,false,false,false
2026-06-07T01:38:00,8,0,0,-62,-43,-50,-58,false,false,false,false
2026-06-07T01:38:04,9,0,0,-55,-43,-46,-57,false,false,false,false
2026-06-07T01:38:08,10,0,0,-65,-42,-61,-60,false,false,false,false
2026-06-07T01:38:12,11,0,0,-61,-42,-53,-61,false,false,false,false
2026-06-07T01:38:15,12,0,0,-57,-40,-50,-62,false,false,false,false
2026-06-07T01:38:20,13,0,0,-61,-40,-46,-60,false,false,false,false
2026-06-07T01:38:35,14,0,0,-59,-37,-49,-61,false,false,false,false
2026-06-07T01:38:39,15,0,0,-65,-44,-50,-50,false,false,false,false
2026-06-07T01:38:45,16,0,0,-63,-40,-48,-62,false,false,false,false
2026-06-07T01:39:01,16,1,0,-57,-42,-57,-62,false,false,false,false
2026-06-07T01:39:06,15,1,0,-58,-42,-55,-61,false,false,false,false
2026-06-07T01:39:10,14,1,0,-51,-45,-52,-56,false,false,false,false
2026-06-07T01:39:14,13,1,0,-61,-51,-53,-60,false,false,false,false
2026-06-07T01:39:18,12,1,0,-59,-60,-43,-63,false,false,false,false
2026-06-07T01:39:22,11,1,0,-52,-56,-61,-61,false,false,false,false
2026-06-07T01:39:26,10,1,0,-56,-55,-45,-62,false,false,false,false
2026-06-07T01:39:30,9,1,0,-54,-54,-59,-60,false,false,false,false
2026-06-07T01:39:34,8,1,0,-48,-54,-50,-61,false,false,false,false
2026-06-07T01:39:38,7,1,0,-45,-55,-52,-61,false,false,false,false
2026-06-07T01:39:45,6,1,0,-49,-57,-56,-57,false,false,false,false
2026-06-07T01:39:51,5,1,0,-43,-59,-51,-62,false,false,false,false
2026-06-07T01:39:56,4,1,0,-40,-58,-71,-64,false,false,false,false
2026-06-07T01:40:01,3,1,0,-40,-58,-58,-64,false,false,false,false
2026-06-07T01:40:05,2,1,0,-47,-61,-49,-70,false,false,false,false
2026-06-07T01:40:10,1,1,0,-44,-58,-61,-63,false,false,false,false
2026-06-07T01:40:14,0,1,0,-51,-60,-45,-65,false,false,false,false
2026-06-07T01:40:21,0,2,0,-46,-60,-47,-65,false,false,false,false
2026-06-07T01:40:25,1,2,0,-43,-61,-45,-53,false,false,false,false
2026-06-07T01:40:30,2,2,0,-58,-61,-44,-53,false,false,false,false
2026-06-07T01:40:35,3,2,0,-49,-52,-48,-54,false,false,false,false
2026-06-07T01:40:40,4,2,0,-57,-58,-49,-55,false,false,false,false
2026-06-07T01:40:44,5,2,0,-50,-58,-45,-55,false,false,false,false
2026-06-07T01:40:49,6,2,0,-53,-57,-59,-69,false,false,false,false
2026-06-07T01:40:58,7,2,0,-51,-55,-42,-62,false,false,false,false
2026-06-07T01:41:30,8,2,0,-60,-58,-46,-74,false,false,false,false
2026-06-07T01:41:36,9,2,0,-57,-54,-53,-65,false,false,false,false
2026-06-07T01:41:41,10,2,0,-68,-47,-43,-64,false,false,false,false
2026-06-07T01:41:46,11,2,0,-65,-57,-55,-63,false,false,false,false
2026-06-07T01:41:51,12,2,0,-63,-64,-51,-61,false,false,false,false
2026-06-07T01:41:56,13,2,0,-60,-42,-49,-59,false,false,false,false
2026-06-07T01:42:01,14,2,0,-63,-55,-52,-59,false,false,false,false
2026-06-07T01:42:04,15,2,0,-60,-49,-62,-58,false,false,false,false
2026-06-07T01:42:11,16,2,0,-73,-62,-47,-66,false,false,false,false
2026-06-07T01:42:17,16,3,0,-59,-55,-56,-56,false,false,false,false
2026-06-07T01:42:22,15,3,0,-67,-62,-50,-56,false,false,false,false
2026-06-07T01:42:30,14,3,0,-58,-62,-42,-52,false,false,false,false
2026-06-07T01:42:34,13,3,0,-50,-46,-46,-52,false,false,false,false
2026-06-07T01:42:38,12,3,0,-56,-49,-56,-48,false,false,false,false
2026-06-07T01:42:42,11,3,0,-55,-54,-48,-65,false,false,false,false
2026-06-07T01:42:47,10,3,0,-52,-56,-45,-65,false,false,false,false
2026-06-07T01:42:51,9,3,0,-55,-54,-47,-66,false,false,false,false
2026-06-07T01:42:56,8,3,0,-48,-56,-44,-66,false,false,false,false
2026-06-07T01:43:01,7,3,0,-46,-57,-50,-65,false,false,false,false
2026-06-07T01:43:06,6,3,0,-59,-59,-48,-63,false,false,false,false
2026-06-07T01:43:11,5,3,0,-49,-58,-57,-67,false,false,false,false
2026-06-07T01:43:15,4,3,0,-49,-59,-38,-65,false,false,false,false
2026-06-07T01:43:20,3,3,0,-52,-69,-51,-63,false,false,false,false
2026-06-07T01:43:24,2,3,0,-51,-61,-40,-60,false,false,false,false
2026-06-07T01:43:28,1,3,0,-55,-58,-53,-60,false,false,false,false
2026-06-07T01:43:32,0,3,0,-60,-62,-53,-65,false,false,false,false
2026-06-07T01:43:37,0,4,0,-52,-61,-55,-65,false,false,false,false
2026-06-07T01:43:41,1,4,0,-48,-58,-52,-66,false,false,false,false
2026-06-07T01:43:48,2,4,0,-56,-61,-50,-63,false,false,false,false
2026-06-07T01:43:52,3,4,0,-44,-50,-46,-63,false,false,false,false
2026-06-07T01:43:57,4,4,0,-54,-52,-43,-61,false,false,false,false
2026-06-07T01:44:01,5,4,0,-49,-59,-50,-63,false,false,false,false
2026-06-07T01:44:06,6,4,0,-59,-57,-47,-62,false,false,false,false
2026-06-07T01:44:11,7,4,0,-62,-57,-51,-59,false,false,false,false
2026-06-07T01:44:16,8,4,0,-55,-56,-43,-75,false,false,false,false
2026-06-07T01:44:22,9,4,0,-55,-55,-48,-59,false,false,false,false
2026-06-07T01:44:27,10,4,0,-63,-57,-52,-58,false,false,false,false
2026-06-07T01:44:33,11,4,0,-61,-55,-59,-61,false,false,false,false
2026-06-07T01:44:38,12,4,0,-59,-53,-48,-57,false,false,false,false
2026-06-07T01:44:43,13,4,0,-59,-51,-46,-48,false,false,false,false
2026-06-07T01:44:47,14,4,0,-68,-51,-54,-50,false,false,false,false
2026-06-07T01:44:51,15,4,0,-64,-50,-48,-41,false,false,false,false
2026-06-07T01:44:55,16,4,0,-66,-52,-56,-59,false,false,false,false
2026-06-07T01:45:03,16,5,0,-66,-52,-52,-45,false,false,false,false
2026-06-07T01:45:08,15,5,0,-75,-69,-51,-45,false,false,false,false
2026-06-07T01:45:14,14,5,0,-49,-53,-43,-50,false,false,false,false
2026-06-07T01:45:19,13,5,0,-55,-54,-45,-64,false,false,false,false
2026-06-07T01:45:23,12,5,0,-51,-56,-48,-60,false,false,false,false
2026-06-07T01:45:28,11,5,0,-54,-54,-46,-58,false,false,false,false
2026-06-07T01:45:33,10,5,0,-53,-55,-49,-59,false,false,false,false
2026-06-07T01:45:38,9,5,0,-55,-64,-48,-62,false,false,false,false
2026-06-07T01:45:42,8,5,0,-57,-64,-44,-66,false,false,false,false
2026-06-07T01:45:46,7,5,0,-62,-65,-50,-78,false,false,false,false
2026-06-07T01:45:51,6,5,0,-44,-65,-44,-67,false,false,false,false
2026-06-07T01:45:55,5,5,0,-52,-66,-56,-67,false,false,false,false
2026-06-07T01:45:59,4,5,0,-48,-66,-41,-63,false,false,false,false
2026-06-07T01:46:04,3,5,0,-64,-62,-50,-63,false,false,false,false
2026-06-07T01:46:08,2,5,0,-56,-62,-38,-62,false,false,false,false
2026-06-07T01:46:12,1,5,0,-52,-67,-47,-76,false,false,false,false
2026-06-07T01:46:17,0,5,0,-56,-60,-46,-70,false,false,false,false
2026-06-07T01:46:22,0,6,0,-53,-62,-50,-72,false,false,false,false
2026-06-07T01:46:28,1,6,0,-50,-62,-42,-65,false,false,false,false
2026-06-07T01:46:33,2,6,0,-58,-59,-47,-65,false,false,false,false
2026-06-07T01:46:38,3,6,0,-47,-60,-45,-59,false,false,false,false
2026-06-07T01:46:42,4,6,0,-48,-60,-44,-60,false,false,false,false
2026-06-07T01:46:47,5,6,0,-47,-58,-44,-60,false,false,false,false
2026-06-07T01:46:52,6,6,0,-59,-58,-41,-66,false,false,false,false
2026-06-07T01:46:57,7,6,0,-57,-57,-46,-64,false,false,false,false
2026-06-07T01:47:02,8,6,0,-58,-59,-51,-66,false,false,false,false
2026-06-07T01:47:07,9,6,0,-57,-55,-47,-66,false,false,false,false
2026-06-07T01:47:11,10,6,0,-62,-68,-53,-52,false,false,false,false
2026-06-07T01:47:16,11,6,0,-59,-68,-53,-59,false,false,false,false
2026-06-07T01:47:20,12,6,0,-64,-66,-46,-57,false,false,false,false
2026-06-07T01:47:24,13,6,0,-59,-55,-49,-48,false,false,false,false
2026-06-07T01:47:28,14,6,0,-62,-55,-56,-57,false,false,false,false
2026-06-07T01:47:32,15,6,0,-70,-49,-51,-54,false,false,false,false
2026-06-07T01:47:36,16,6,0,-62,-53,-53,-54,false,false,false,false
2026-06-07T01:47:42,16,7,0,-53,-54,-51,-55,false,false,false,false
2026-06-07T01:47:46,15,7,0,-64,-54,-56,-52,false,false,false,false
2026-06-07T01:47:52,14,7,0,-59,-56,-38,-54,false,false,false,false
2026-06-07T01:47:57,13,7,0,-60,-56,-43,-56,false,false,false,false
2026-06-07T01:48:02,12,7,0,-49,-57,-40,-55,false,false,false,false
2026-06-07T01:48:06,11,7,0,-52,-56,-47,-56,false,false,false,false
2026-06-07T01:48:11,10,7,0,-60,-57,-55,-60,false,false,false,false
2026-06-07T01:48:15,9,7,0,-53,-59,-53,-61,false,false,false,false
2026-06-07T01:48:20,8,7,0,-53,-59,-47,-62,false,false,false,false
2026-06-07T01:48:24,7,7,0,-60,-57,-42,-63,false,false,false,false
2026-06-07T01:48:29,6,7,0,-52,-57,-48,-61,false,false,false,false
2026-06-07T01:48:34,5,7,0,-61,-58,-40,-62,false,false,false,false
2026-06-07T01:48:38,4,7,0,-52,-58,-43,-64,false,false,false,false
2026-06-07T01:48:43,3,7,0,-65,-58,-51,-62,false,false,false,false
2026-06-07T01:48:49,2,7,0,-59,-61,-40,-63,false,false,false,false
2026-06-07T01:48:54,1,7,0,-54,-62,-50,-67,false,false,false,false
2026-06-07T01:48:59,0,7,0,-55,-60,-40,-65,false,false,false,false
2026-06-07T01:49:05,0,8,0,-58,-61,-41,-66,false,false,false,false
2026-06-07T01:49:10,1,8,0,-56,-61,-50,-66,false,false,false,false
2026-06-07T01:49:50,2,8,0,-79,-51,-38,-56,false,false,false,false
2026-06-07T01:49:56,3,8,0,-88,-59,-46,-62,false,false,false,false
2026-06-07T01:50:00,4,8,0,-84,-52,-43,-62,false,false,false,false
2026-06-07T01:50:04,5,8,0,-79,-64,-54,-60,false,false,false,false
2026-06-07T01:50:08,6,8,0,-77,-55,-45,-61,false,false,false,false
2026-06-07T01:50:12,7,8,0,-61,-62,-42,-60,false,false,false,false
2026-06-07T01:50:17,8,8,0,-47,-60,-52,-59,false,false,false,false
2026-06-07T01:50:21,9,8,0,-53,-56,-53,-60,false,false,false,false
2026-06-07T01:50:25,10,8,0,-47,-57,-62,-59,false,false,false,false
2026-06-07T01:50:30,11,8,0,-59,-68,-49,-59,false,false,false,false
2026-06-07T01:50:35,12,8,0,-65,-65,-53,-53,false,false,false,false
2026-06-07T01:50:40,13,8,0,-65,-67,-51,-50,false,false,false,false
2026-06-07T01:50:45,14,8,0,-56,-56,-58,-56,false,false,false,false
2026-06-07T01:50:49,15,8,0,-66,-57,-56,-55,false,false,false,false
2026-06-07T01:50:53,16,8,0,-66,-58,-66,-55,false,false,false,false
2026-06-07T01:51:15,16,9,0,-65,-55,-53,-44,false,false,false,false
2026-06-07T01:51:22,15,9,0,-56,-59,-62,-54,false,false,false,false
2026-06-07T01:51:30,14,9,0,-68,-62,-49,-65,false,false,false,false
2026-06-07T01:51:35,13,9,0,-55,-57,-39,-61,false,false,false,false
2026-06-07T01:51:39,12,9,0,-61,-57,-39,-66,false,false,false,false
2026-06-07T01:51:44,11,9,0,-55,-51,-46,-58,false,false,false,false
2026-06-07T01:51:47,10,9,0,-52,-53,-45,-60,false,false,false,false
2026-06-07T01:51:51,9,9,0,-56,-56,-35,-57,false,false,false,false
2026-06-07T01:51:56,8,9,0,-50,-49,-39,-60,false,false,false,false
2026-06-07T01:52:00,7,9,0,-49,-51,-33,-60,false,false,false,false
2026-06-07T01:52:04,6,9,0,-56,-56,-39,-64,false,false,false,false
2026-06-07T01:52:08,5,9,0,-49,-59,-38,-66,false,false,false,false
2026-06-07T01:52:12,4,9,0,-57,-61,-41,-72,false,false,false,false
2026-06-07T01:52:16,3,9,0,-54,-63,-38,-62,false,false,false,false
2026-06-07T01:52:20,2,9,0,-66,-59,-37,-65,false,false,false,false
2026-06-07T01:52:24,1,9,0,-51,-62,-42,-65,false,false,false,false
2026-06-07T01:52:29,0,9,0,-63,-65,-39,-68,false,false,false,false
